"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Smart teaching quantitative topics through the VARK learning styles model","S. Moazeni; H. Pourmohammadi","Princeton University, USA; California State University, Dominguez Hills, USA","2013 IEEE Integrated STEM Education Conference (ISEC)","6 Jun 2013","2013","","","1","7","Effective teaching concerns students' learning styles and its diversity. An adopted teaching strategy must be then aligned with students' learning traits. In this paper, to provide an effective in-classroom learning environment for most students, we propose to develop appropriate instructional presentation methods to match diversity of learning styles. We demonstrate how to align in-class instructions, such as quizzes and other in-class learning activities, with students' learning styles. Our discussion, which primarily focuses on quantitative topics, relies on research in education and applied psychology, and our teaching experience. Here, we utilize the Fleming's VARK learning style model. We then address some shortcomings of identifying students' learning styles through a generic questionnaire, and propose a scheme to dynamically infer them. This automatic student modeling approach can be easily adopted in distance education.","","978-1-4673-5624-4","10.1109/ISECon.2013.6525222","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6525222","Automatic student modeling;Learning styles;Matching learning and teaching styles;VARK model","Educational institutions;Conferences;Mathematical model;Instruments;Operations research;Standards","distance learning;teaching;user modelling","smart teaching quantitative topics;Fleming VARK learning style model;student learning styles;teaching strategy;student learning traits;in-classroom learning environment;instructional presentation methods;learning style diversity;in-class instructions;in-class learning activities;generic questionnaire;automatic student modeling approach;distance education","","7","","16","IEEE","6 Jun 2013","","","IEEE","IEEE Conferences"
"Application of planning techniques in knowledge-managed tutoring systems","M. Marinov; I. Valova","Department of Computer Systems and Technologies, University of Ruse, Ruse, Bulgaria; Department of Computer Systems and Technologies, University of Ruse, Ruse, Bulgaria","2016 15th International Conference on Information Technology Based Higher Education and Training (ITHET)","1 Dec 2016","2016","","","1","5","The goals of the modern Computer-assisted Instruction systems are ultimately achievable only through the application of artificial intelligence techniques to the implementation of teaching strategies. The author of the traditional Computer-assisted Instruction course must explicitly predict and program all possible paths through the lessons, including backward branches for review or remediation. The use of planning techniques when defining the global teaching strategy allows the creation of large, individualized courses which handle broader subject areas than most Intelligent tutoring systems, but at the same time avoid the rigidity of traditional Computer-assisted Instruction systems. The generalized algorithms of Planning and Executive subsystems are described. The architecture of a knowledge-managed tutoring system which is viewed as the interrelation of three physically independent but logically linked models (the domain, the teaching strategy, and the student) is presented.","","978-1-5090-0778-3","10.1109/ITHET.2016.7760745","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7760745","knowledge-managed tutoring system;planning techniques;authoring tools;global teaching strategy;domain model;student model","Education;Planning;Semantics;Computational modeling;Adaptation models;Computer architecture;Computers","intelligent tutoring systems;knowledge management;planning (artificial intelligence);teaching","planning technique;knowledge-managed tutoring system;computer-assisted instruction course;artificial intelligence;teaching strategy;intelligent tutoring system","","3","","11","IEEE","1 Dec 2016","","","IEEE","IEEE Conferences"
"Towards the development of an online adaptive system framework for English learning using perturbation learner model","Nguyen Viet Dung; S. Sulaiman; M. F. Hassan","Computer and Information Sciences Dept, Universiti Teknologi Petronas, Bandar Seri Iskandar, Tronoh, Perak, Malaysia; Computer and Information Sciences Dept, Universiti Teknologi Petronas, Bandar Seri Iskandar, Tronoh, Perak, Malaysia; Computer and Information Sciences Dept, Universiti Teknologi Petronas, Bandar Seri Iskandar, Tronoh, Perak, Malaysia","2012 International Conference on Computer & Information Science (ICCIS)","10 Sep 2012","2012","1","","512","516","Adaptive learning has proved to be an advanced educational method applicable to a variety of educational and training models to increase the efficiency and effectiveness in teaching and learning. The idea behind adaptive learning is the use of computer-based interactive systems fully capable of automatically adapting the presentation of learning content and material according to the learners' responses and progress when interacting with the systems. With English becoming increasingly important in the world today as an international language, it has been questioned as to whether adaptive learning can be utilized to facilitate the learning of English as a second language in non-English-speaking countries. This paper addresses this issue by proposing a framework that uses perturbation learner model in designing an adaptive system.","","978-1-4673-1938-6","10.1109/ICCISci.2012.6297299","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6297299","Adaptive learning;adaptive system;English learning;Internet user;learner model;user modeling","Computers;Information science","adaptive systems;computer aided instruction;interactive systems;Internet;natural language processing;perturbation techniques;teaching","online adaptive system framework development;English learning;perturbation learner model;adaptive learning;advanced educational method;teaching;computer-based interactive systems;learning content;learning material;international language;English as a second language;nonEnglish-speaking countries","","1","","9","IEEE","10 Sep 2012","","","IEEE","IEEE Conferences"
"An adaptive e-learning Decision support system","M. Yarandi; H. Jahankhani; A. -R. H. Tawil","School of Computing Information Technology, Engineering University of East London, London, UK; School of Computing Information Technology, Engineering University of East London, London, UK; School of Computing Information Technology, Engineering University of East London, London, UK","2012 15th International Conference on Interactive Collaborative Learning (ICL)","7 Jan 2013","2012","","","1","5","The success of web technologies has led to a growing attention on e-learning activities. However, most current e-Learning systems provide static web-based learning so that learners access the same learning content through the internet, irrespective of individual learner's profile. These learners may have very different learning backgrounds, knowledge levels, learning styles, and abilities. The `one size fit all' in an e-Learning systems is clearly a typical problem. To overcome this limitation and increase effective learning, adaptive and personalised learning is currently an active research area. This study presents a novel ontology-based approach to design an e-learning Decision support system which includes major adaptive features. The ontological learner, domain and content model are separately designed to support adaptive learning. The proposed system utilise the captured learner's model during the registration phase for determining learners' characteristics. The system also tracks learners' activities and tests during the learning process. Test results are analysed according to the Item Response Theory in order to calculate learner's abilities. The learner model is updated based on the result of activities, results of test and learner's ability for use in the adaptation process. The updated learner model is used to generate different learning paths for individual learners. In this study, the proposed system is implemented on the “Fraction topic” of mathematics domain. After the system was tested, the results indicate that the proposed system improved learning effectiveness and learner satisfaction, particularly in its adaptive capabilities.","","978-1-4673-2427-4","10.1109/ICL.2012.6402141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6402141","Adaptive learning;Personalised learning;Ontology;e-learning systems;Item response theory","Electronic learning;Adaptive systems;Adaptation models;Learning systems;Decision support systems;Ontologies;Engines","computer aided instruction;decision support systems;Internet;ontologies (artificial intelligence)","adaptive e-learning decision support system;static Web-based learning;Internet;personalised learning;ontology-based approach;content model;domain model;registration phase;learner characteristics;learner activity tracking;learner test tracking;item response theory;learning path generation;fraction topic;mathematics domain;learner satisfaction;learning effectiveness","","6","","18","IEEE","7 Jan 2013","","","IEEE","IEEE Conferences"
"A Deep Reinforcement Learning Framework for Instructional Sequencing","Y. Pu; C. Wang; W. Wu","State Key Laboratory of Software Development Environment, Beihang University, Beijing, China; State Key Laboratory of Software Development Environment, Beihang University, Beijing, China; State Key Laboratory of Software Development Environment, Beihang University, Beijing, China","2020 IEEE International Conference on Big Data (Big Data)","19 Mar 2021","2020","","","5201","5208","Reinforcement Learning, a common framework for AI planing or decision making, is regarded as an effective framework fro planning students' learning sequences. However, previous research efforts rely on simulation data or students and few of them have verified effectiveness of their algorithms with teaching students in real educational environments. Also, the previous research is hard to using in real task such as online course or real classroom because of the strong assumptions and restrictions. In this paper, We propose a new deep reinforcement learning framework for instructional sequencing that can recommend students with personalized learning exercises in both MOOCs and classrooms. Based on our ATC model, is used to trace students learning process and Deep Reinforcement Learning Agent is used to induce efficient l earning sequences for students adaptively. Both simulation and experiment in classrooms confirm the effectiveness of our method.","","978-1-7281-6251-5","10.1109/BigData50022.2020.9378463","State Key Laboratory of Software Development Environment; Beijing Advanced Innovation Center for Big Data and Brain Computing; Beihang University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9378463","Deep Reinforcement Learning;Instructional Sequencing;Adaptive Learning;Student Model","Training;Adaptation models;Sequential analysis;Reinforcement learning;Big Data;Data models;Task analysis","computer aided instruction;decision making;deep learning (artificial intelligence);educational courses;teaching","educational environments;classroom;instructional sequencing;personalized learning exercises;deep reinforcement learning agent;decision making;students;MOOC","","2","","22","IEEE","19 Mar 2021","","","IEEE","IEEE Conferences"
"Evaluation based on personalization using optimized FIRT and MAS framework in engineering education in e-learning environment","S. Nafiseh; M. Gholam Ali","Tarbiat Modares University, Tehran, Tehran, IR; Tarbiat Modares University, Tehran, Tehran, IR","4th International Conference on e-Learning and e-Teaching (ICELET 2013)","12 Dec 2013","2013","","","117","120","The structure of learning domain and content should be presented take into account the learners'goals, experiences, knowledge, abilities. In recent years, e-learning environments, have been personalized with Intelligent Tutoring Systems that emphasis the importance of learning/tutoring model with their feedbacks. Identifying the learning style is the best way to obtain information about the learners. With considering the importance of learner model reliability, this paper has been proposed a frame work based on fuzzy learner model and Optimized Fuzzy Item Response Theory (OFIRT) in form of fuzzy pedagogical module. Based on these concurrent fuzzy systems and using Multi Agent System(MAS) for learners' monitoring, learners ability estimation and learners' evaluation have been done with less uncertainty. So generate better recommendations for learners' motivation. Examining the capability of the proposed system in a an e-learning engineering education indicated that the success rate of the learners higher than before and it's about more than 83%.","2163-6982","978-1-4673-5268-0","10.1109/ICELET.2013.6681657","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6681657","Engineering Education;Teaching and Learning Style;E-learning;Optimized Fuzzy Item Response Theory (OFIRT);Multi Agent System (MAS)","Monitoring;Educational institutions;Finite impulse response filters;Least squares approximations;Engines;Uncertainty;Computational modeling","engineering education;fuzzy set theory;intelligent tutoring systems;multi-agent systems","MAS framework;engineering education;e-ieaming environment;learning domain;learning content;intelligent tutoring systems;learning-tutoring model;learner model reliability;fuzzy learner model;optimized fuzzy item response theory;OFIRT;concurrent fuzzy systems;multiagent system;MAS;learner motivation;learners ability estimation;fuzzy pedagogical module","","3","","10","IEEE","12 Dec 2013","","","IEEE","IEEE Conferences"
"Revealing Students' UML Class Diagram Modelling Strategies with WebUML and LogViz","D. R. Stikkolorum; T. Ho-Quang; M. R. V. Chaudron","LIACS Leiden University The Netherlands; Chalmers and Gothenburg University, Sweden; Chalmers and Gothenburg University, Sweden","2015 41st Euromicro Conference on Software Engineering and Advanced Applications","26 Oct 2015","2015","","","275","279","This paper aims to reveal the most common strategies students use to create class designs. We show our approach of logging students' modelling activities while doing a software design task. We developed our own online modelling editor 'Web UML' and visualisation tool 'Log Viz' for the logging and interpretation of the log files. As follow-up students filled-in a brief questionnaire targeting their time spent and difficulties in performing the task. The results show that the students use different strategies for solving the tasks. We categorised these strategies into four main strategies: Depthless, Depth First, Breadth First and Ad Hoc. From our results Depth First indicates to support better layout and richness (detail). From the questionnaire students mention choosing the appropriate UML elements is a difficult and time consuming task. We want to use our insights to improve our educational programs and tools. In the future we want to test Web UML and Log Viz in larger educational contexts.","2376-9505","978-1-4673-7585-6","10.1109/SEAA.2015.77","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7302463","students' modelling strategies;education;software design;UML;activity logging;tracking","Unified modeling language;Visualization;Software design;Layout;Object oriented modeling;Analytical models","computer aided instruction;data visualisation;Internet;software engineering;student experiments;task analysis;Unified Modeling Language","UML class diagram modelling strategies;WebUML;LogViz;students modelling activities;software design task;visualisation tool;educational contexts","","9","","10","IEEE","26 Oct 2015","","","IEEE","IEEE Conferences"
"Construction of Student model based on BP neural network","Y. Liu; Y. Zhang; G. Zhang","School of Computer Science and Information Engineering, Shanghai Institute of Technology, Shanghai, China; School of Computer Science and Information Engineering, Shanghai Institute of Technology, Shanghai, China; School of Computer Science and Information Engineering, Shanghai Institute of Technology, Shanghai, China","2019 International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS)","13 Feb 2020","2019","","","180","187","With the development of personalized learning, the construction of student models is becoming more and more important. At present, there are still problems in the student model that the characteristics are single and the indicators of each dimension are not clear. In this paper, learners will be analyzed from the perspective of student characteristics. And BP (Back Propagation) neural network algorithm will be used to establish a personalized student model. This paper first constructs the feature system of the student model from six dimensions. Secondly, the initial data is obtained through questionnaire survey, and the data is initialized to obtain 30 feature vectors as input to BP neural network. The output of the network is a learner type, which is divided into 36 categories. The construction of the student model will have certain practical significance for realizing the effectiveness of personalized education in distance education.","2189-8723","978-1-7281-3380-5","10.1109/ICIIBMS46890.2019.8991446","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8991446","student model;personalized learning;BP neural network;student characteristics","","backpropagation;computer aided instruction;distance learning;feature extraction;neural nets","distance education;personalized education;back propagation neural network algorithm;student model construction;personalized student model;BP neural network algorithm;student characteristics","","","","15","IEEE","13 Feb 2020","","","IEEE","IEEE Conferences"
"Programming Knowledge Tracing: A Comprehensive Dataset and A New Model","R. Zhu; D. Zhang; C. Han; M. Gaol; X. Lu; W. Qian; A. Zhou","School of Data Science and Engineering, East China Normal University, Shanghai, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, Zhejiang, China; School of Data Science and Engineering, East China Normal University, Shanghai, China; School of Data Science and Engineering, East China Normal University, Shanghai, China; School of Data Science and Engineering, East China Normal University, Shanghai, China; School of Data Science and Engineering, East China Normal University, Shanghai, China; School of Data Science and Engineering, East China Normal University, Shanghai, China","2022 IEEE International Conference on Data Mining Workshops (ICDMW)","8 Feb 2023","2022","","","298","307","In this paper, we study knowledge tracing in the domain of programming education and make two important contributions. First, we harvest and publish so far the most comprehensive dataset, namely BePKT, which covers various online behaviors in an online judge (OJ) system, including programming text problems, knowledge annotations, user-submitted code and system-logged events. Second, we propose a new model PDKT to exploit the enriched context for accurate student behavior prediction. More specifically, we construct a bipartite graph for programming problem embedding, and design an improved pre-training model PLCodeBERT for code embedding, as well as a double-sequence RNN model with exponential decay attention for effective feature fusion. Experimental results on the new dataset BePKT show that our proposed model establishes state-of-the-art performance in programming knowledge tracing. In addition, we verify that our code embedding strategy based on PLCodeBERT is complementary to existing knowledge tracing models to further enhance their accuracy. As a side product, PLCodeBERT also results in better performance in other programming-related tasks such as code clone detection.","2375-9259","979-8-3503-4609-1","10.1109/ICDMW58026.2022.00048","National Natural Science Foundation of China(grant numbers:U1911203,62277017,61877018); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10031183","knowledge tracing;programming education;deep learning","Codes;Conferences;Education;Predictive models;Data models;Behavioral sciences;Data mining","computer science education;feature extraction;graph theory;natural language processing;programming;recurrent neural nets;text analysis","BePKT dataset;bipartite graph;code clone detection;code embedding;double-sequence RNN model;exponential decay attention;feature fusion;knowledge annotations;online behaviors;online judge system;PDKT model;PLCodeBERT pre-training model;programming education;programming knowledge tracing;programming problem embedding;programming text problems;programming-related tasks;student behavior prediction;system-logged events;user-submitted code","","","","50","IEEE","8 Feb 2023","","","IEEE","IEEE Conferences"
"AI-Based Personalized E-Learning Systems: Issues, Challenges, and Solutions","M. Murtaza; Y. Ahmed; J. A. Shamsi; F. Sherwani; M. Usman","Systems Research Laboratory, National University of Computer and Emerging Sciences, Karachi, Pakistan; Systems Research Laboratory, National University of Computer and Emerging Sciences, Karachi, Pakistan; Systems Research Laboratory, National University of Computer and Emerging Sciences, Karachi, Pakistan; Systems Research Laboratory, National University of Computer and Emerging Sciences, Karachi, Pakistan; Systems Research Laboratory, National University of Computer and Emerging Sciences, Karachi, Pakistan","IEEE Access","9 Aug 2022","2022","10","","81323","81342","A personalized e-learning system is effective in imparting enhanced learning to its users. As compared to a conventional e-learning system, which provides similar contents to each learner, a personalized learning system provides specific learning contents and assessments to the learners. Personalization is based on Artificial Intelligence (AI) based techniques in which appropriate contents for each learner are determined using the level of comprehension of the learner and the preferred modes of learning. This paper presents requirements and challenges for a personalized e-learning system. The paper is focused in elaborating four research questions, which are related to identifying key factors of personalized education, elaborating on state of the art research in the domain, utilizing benefits of AI in personalized education, and determining future research directions. The paper utilizes an in-depth survey of current research papers in answering these questions. It provides a comprehensive review of existing solutions in offering personalized e-learning solutions. It also elaborates on different learning models and learning theories, which are significant in providing personalized education. It proposes an efficient framework, which can offer personalized e-learning to each learner. The proposed framework includes five modules i.e Data Module, Adaptive Learning Module, Adaptable Learning Module, Recommender Module, Content and Assessment Delivery Module. Our work also identifies significant directions for future research. The paper is beneficial for academicians and researchers in understanding the requirements of such a system, comprehending its methodologies, and identifying challenges which are needed to be addressed.","2169-3536","","10.1109/ACCESS.2022.3193938","National Center of Artificial Intelligence (NCAI), Pakistan(grant numbers:NCAI RF-036); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9840390","Adaptability;artificial intelligence;educational data mining;knowledge tracing;personalized e-learning;recommender systems","Electronic learning;Education;Videos;Adaptation models;Object recognition;Artificial intelligence;Learning (artificial intelligence);Recommender systems;Data mining","adaptive systems;artificial intelligence;computer aided instruction;personal computing;recommender systems","specific learning contents;artificial intelligence;personalized education;learning theories;adaptive learning module;personalized e-learning systems;adaptable learning module;recommender module;assessment delivery module;data module","","13","","151","CCBY","26 Jul 2022","","","IEEE","IEEE Journals"
"Multiple Features Fusion Attention Mechanism Enhanced Deep Knowledge Tracing for Student Performance Prediction","D. Liu; Y. Zhang; J. Zhang; Q. Li; C. Zhang; Y. Yin","School of Computer and Information Engineering, Henan Normal University, Xinxiang, China; School of Computer and Information Engineering, Henan Normal University, Xinxiang, China; School of Mechanical Engineering, Zhengzhou University, Zhengzhou, China; School of Computer and Information Engineering, Henan Normal University, Xinxiang, China; School of Computer and Information Engineering, Henan Normal University, Xinxiang, China; School of Computer Science and Technology, University of Science and Technology of China, Hefei, China","IEEE Access","3 Nov 2020","2020","8","","194894","194903","Student performance prediction is a fundamental task in online learning systems, which aims to provide students with access to active learning. Generally, student performance prediction is achieved by tracing the evolution of each student's knowledge states via a series of learning activities. Every learning activity record has two types of feature data: student behavior and exercise features. However, most methods use features that are related to exercises, such as correctness and concepts, while other student behavior features are usually ignored. The few studies that have focused on student behavior features through subjective manual selection argue that different student behavior features can be used in an equivalent manner to predict student performance. In this paper, we assume that the integration of student behavior features and exercise features is crucial to improve the precision of prediction, and each feature has a different impact on student performance. Therefore, this paper proposes a novel framework for student performance prediction by making full use of both student behavior features and exercise features and combining the attention mechanism with the knowledge tracing model. Specifically, we first exploit machine learning to capture feature representation automatically. Then, a fusion attention mechanism based on recurrent neural network architecture is used for student performance prediction. Extensive experiments on a real-world dataset show the effectiveness and practicability of our approach. The accuracy of our method is up to 98%, which is superior to previous methods.","2169-3536","","10.1109/ACCESS.2020.3033200","National Key Research and Development Program of China(grant numbers:2018YFB1701402); National Natural Science Foundation of China(grant numbers:62072160); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9235583","Student performance prediction;knowledge tracing;recurrent neural network;attention mechanism","Recurrent neural networks;Knowledge engineering;Deep learning;Predictive models;Education;Task analysis","feature extraction;intelligent tutoring systems;learning (artificial intelligence);recurrent neural nets","student performance prediction;exercise features;multiple features fusion attention mechanism enhanced deep knowledge tracing;online learning systems;active learning;student behavior features;learning activity;subjective manual selection;feature representation;recurrent neural network architecture","","17","","27","CCBY","22 Oct 2020","","","IEEE","IEEE Journals"
"Monitoring Student Progress for Learning Process-Consistent Knowledge Tracing","S. Shen; E. Chen; Q. Liu; Z. Huang; W. Huang; Y. Yin; Y. Su; S. Wang","Anhui Province Key Laboratory of Big Data Analysis and Application, School of Data Science & School of Computer Science and Techonology & State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China, Hefei, Anhui, China; Anhui Province Key Laboratory of Big Data Analysis and Application, School of Data Science & School of Computer Science and Techonology & State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China, Hefei, Anhui, China; Anhui Province Key Laboratory of Big Data Analysis and Application, School of Data Science & School of Computer Science and Techonology & State Key Laboratory of Cognitive Intelligence & Institute of Artificial Intelligence, Hefei Comprehensive National Science Center, University of Science and Technology of China, Hefei, Anhui, China; Anhui Province Key Laboratory of Big Data Analysis and Application, School of Data Science & School of Computer Science and Techonology & State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China, Hefei, Anhui, China; Anhui Province Key Laboratory of Big Data Analysis and Application, School of Data Science & School of Computer Science and Techonology & State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China, Hefei, Anhui, China; Anhui Province Key Laboratory of Big Data Analysis and Application, School of Data Science & School of Computer Science and Techonology & State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China, Hefei, Anhui, China; School of Computer Science and Technology & Institute of Artificial Intelligence, Hefei Comprehensive National Science Center, Hefei Normal University, Hefei, Anhui, China; iFLYTEK AI Research (Central China) & State Key Laboratory of Cognitive Intelligence, iFLYTEK, Co., Ltd, Hefei, Anhui, China","IEEE Transactions on Knowledge and Data Engineering","7 Jul 2023","2023","35","8","8213","8227","Knowledge tracing (KT) is the task of tracing students’ evolving knowledge state during learning, which has improved the learning efficiency. To facilitate KT's development, most existing methods pursue high accuracy of student performance prediction but neglect the consistency between students’ dynamic knowledge state with their learning process. Moreover, they focus on learning outcomes at a single learning interaction, while student progress at continuous learning interactions is more instructive. In this paper, we explore a new paradigm for the KT task and propose a novel model named Learning Process-consistent Knowledge Tracing (LPKT), which captures the evolution of students’ knowledge state through monitoring their learning progress. Specifically, we utilize both the positive effect of the learning gain and the negative effect of forgetting in learning to calculate student progress in continuous learning interactions. Then, considering that the rate of progress is student-specific, we extend LPKT to LPKT-S by explicitly distinguishing the individual progress rate of each student. Extensive experimental results on three public datasets demonstrate that LPKT and LPKT-S could obtain more appropriate knowledge states in line with the learning process. Moreover, LPKT and LPKT-S outperform state-of-the-art KT methods on student performance prediction. Our work indicates a promising future research direction for KT, which is highly interpretable and accurate.","1558-2191","","10.1109/TKDE.2022.3221985","National Key Research and Development Program of China(grant numbers:2021YFF0901003); National Natural Science Foundation of China(grant numbers:U20A20229,61922073,62106244); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9950313","Educational data mining;knowledge tracing;student progress;learning process;learning gain;forgetting effect","Hidden Markov models;Task analysis;Monitoring;Education;Predictive models;Logistics;Computer science","computer aided instruction;data handling","continuous learning interactions;knowledge states;learning efficiency;learning gain;learning outcomes;learning process-consistent knowledge tracing;learning progress;LPKT;monitoring student progress;single learning interaction;state-of-the-art KT methods;student performance prediction","","","","51","IEEE","14 Nov 2022","","","IEEE","IEEE Journals"
"Intelligent Tutoring System with Affective Behavior","Y. Hernández; G. Arroyo-Figueroa; L. E. Sucar","Institute de Investigaciones Eléctricas, Cuernavaca, Morelos, Mexico; Institute de Investigaciones Eléctricas, Cuernavaca, Morelos, Mexico; Óptica y Electrónica, Instituto Nacional de Astrofísica, Tonantzintla, Puebla, México","2007 Sixth Mexican International Conference on Artificial Intelligence, Special Session (MICAI)","28 Oct 2008","2007","","","352","362","We have developed an affective behavior model for intelligent tutoring systems. The aim of the model is to provide students with a tutorial action taking into account both, the affective and the pedagogical state of the student. The affective behavior model considers the student’s pedagogical and affective state, this last one is based on the OCC and Five-factor models. To select the tutorial actions according to the pedagogical and affective state, we propose the use of a dynamic decision network with a utility measure on both, learning and affect. We have integrated the affective behavior model to an educational game to learn number factorization and evaluated its performance with a group of students. To evaluate the affective behavior model we designed a user study with a group of students playing with the educational game without the affective behavior model, and another group that included the affective behavior model. After that, we compared the learning gain in both groups. In this paper we describe the affective behavior model and present the results of the user study.","","978-0-7695-3124-3","10.1109/MICAI.2007.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4659325","intelligent tutoring systems;affective student model;affective tutor","Intelligent systems","","","","1","","22","IEEE","28 Oct 2008","","","IEEE","IEEE Conferences"
"Fuzzy Bayesian Knowledge Tracing","F. Liu; X. Hu; C. Bu; K. Yu","Key Laboratory of Knowledge Engineering with Big Data, Ministry of Education, and School of Information Science and Computer Engineering, and Institute of Big Knowledge Science, Hefei University of Technology, Hefei, China; Key Laboratory of Knowledge Engineering with Big Data, Ministry of Education, and School of Information Science and Computer Engineering, and Institute of Big Knowledge Science, Hefei University of Technology, Hefei, China; Key Laboratory of Knowledge Engineering with Big Data, Ministry of Education, and School of Information Science and Computer Engineering, and Institute of Big Knowledge Science, Hefei University of Technology, Hefei, China; Key Laboratory of Knowledge Engineering with Big Data, Ministry of Education, and School of Information Science and Computer Engineering, and Institute of Big Knowledge Science, Hefei University of Technology, Hefei, China","IEEE Transactions on Fuzzy Systems","30 Jun 2022","2022","30","7","2412","2425","Online education promotes the sharing of learning resources. Knowledge tracing (KT) is aimed at tracking the cognition function of students according to their performance on various exercises at different times and has attracted considerable attention. Existing KT models primarily use bisection representations for the performance and cognitive states of students, thus limiting the application scope of these models and the accuracy of the evaluation of student cognitive performance in learning processes. Therefore, fuzzy Bayesian KT models (namely, FBKT and T2FBKT) are proposed to address continuous score scenarios (e.g., subjective examinations) so that the applicability of KT models may be broadened. Moreover, fine-grained cognitive states can be discerned. In particular, referring to type-2 fuzzy theory, T2FBKT mitigates the model uncertainty of FBKT induced by uncertain parameters. Finally, extensive experiments demonstrate the effectiveness of the proposed fuzzy KT models.","1941-0034","","10.1109/TFUZZ.2021.3083177","National Key Research and Development Program of China(grant numbers:2016YFB1000901); National Natural Science Foundation of China(grant numbers:61806065,62076085,91746209,61876206); Fundamental Research Funds for the Central Universities(grant numbers:JZ2020HGQA0186); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9439896","Educational data mining;fuzzy theory;hidden Markov model (HMM);knowledge tracing (KT)","Hidden Markov models;Bayes methods;Uncertainty;Cognition;Deep learning;Data models;Predictive models","belief networks;cognition;computer aided instruction;educational administrative data processing;fuzzy set theory","fuzzy Bayesian knowledge tracing;learning resources;bisection representations;student cognitive performance;learning processes;fuzzy Bayesian KT models;T2FBKT;continuous score scenarios;cognitive states;type-2 fuzzy theory;model uncertainty;online education;student performance","","9","","54","IEEE","24 May 2021","","","IEEE","IEEE Journals"
"Multimedia and games incorporating student modeling for education","I. Cheng; S. Rodriguez; A. Basu","Department of Computing Science, University of Alberta, Edmonton, Canada; Department of Computing Science, University of Alberta, Edmonton, Canada; Department of Computing Science, University of Alberta, Edmonton, Canada","2009 International Workshop on Technology for Education","6 Nov 2009","2009","","","91","94","With the wide availability of online social and educational websites, there is now an interest in using online multimedia for education. Rather than traditional paper-and-pencil tests, audio, video and graphics are being conceived as alternative means for more effective testing in the future. In this presentation we review some examples of multimedia and games for testing. Computer games have become one of the top choices for entertainment in our society. Computer games are interactive, have appealing multimedia content, and provide an immersive and rewarding environment to the player. These qualities are an essential psychophysical factor that inspires learning abilities and new knowledge. Despite all these promising elements, studies have shown that current educational games are not as effective as they could be. A lack of adaptive tutoring and feedback tools, lack of proper knowledge assessment, and badly designed gameplay are the most significant factors for their inefficiency. We propose to address these problems by using an Intelligent Tutoring System for computer games. The main components of this system are a student model based on Bayesian Networks and a multi-level tutoring model. The system is composed of one or more games based on a single or multiple educational topics.","","978-1-4244-5506-5","10.1109/T4E.2009.5314111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5314111","Interactive multimedia;educational games","Computer science education;Multimedia systems;Automatic testing;System testing;Psychology;Multimedia computing;Calibration;Graph theory;Game theory;Vocabulary","belief networks;computer games;intelligent tutoring systems;multimedia computing;user modelling","student modeling;online social Websites;educational Websites;online multimedia;computer games;psychophysical factor;educational games;adaptive tutoring;feedback tools;Intelligent Tutoring System;Bayesian networks;multilevel tutoring model","","3","","25","IEEE","6 Nov 2009","","","IEEE","IEEE Conferences"
