Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Building an International Student Market: Educational-Balanced Scorecard Solutions for Regional Australian Cities","Forbes, Linda; Hamilton, John","International Education Journal",="14431475",,="20040101","5","4","502",,"EJ903874",,,"Journal Articles","Foreign Countries; Foreign Students; Student Recruitment; Rewards; International Education; Models; Total Quality Management; Geographic Regions",,"There is an international student market suitable for regional Australia, but each region is different. Hence, each region must determine, target and niche market to its best potential international student customer base. For international education there remains scant, relevant, data for regional Australia, hence complete regional approaches to international education must be developed. The Cairns region has developed an international education student model for regional Australia. This approach delineates ideas, pitfalls, structures, strategic directions, dos and don'ts, and future strategies for a region. A balanced scorecard approach ensures that both financial rewards and visionary strategies are coordinated. This approach also offers a vital pathway to delivering regional strategies, and to mapping, measuring and quantifying their results. It produces a spiral knowledge-growth, learning model that can deliver rapid and continuous development of educationally related ideas. Moreover, this approach is a pathway to continuous improvement, and a further move towards maintaining a competitive position in the dynamic global marketspace of international education. (Contains 10 figures.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ903874&site=ehost-live&scope=site"
"A Distance Learning System for Teaching the Writing of Chinese Characters over the Internet.","Sun, K. T.; Feng, D. S.","International Journal of Distance Education Technologies",="15393100",,="Jan-Mar2004","2","1","52","15","12420782","10.4018/jdet.2004010105","IGI Global, Inc.","Article","Intelligent tutoring systems; Internet in education; Computer assisted instruction; Students; Chinese characters","intelligent tutoring system (ITS); Internet; neuron-based student model; stroke orders","This paper proposes an intelligent tutoring system (ITS) for teaching students to write Chinese characters over the Internet. In the proposed system, students can use a pen (or drag the mouse) to write Chinese characters on a digital board using a browser such as Microsoft Internet Explorer. For realizing the situation of student's writing behavior, a neuron-based student model was designed to learn the writing style of each student. This system has been in development since 1996, and includes 2,734 Chinese characters (taught in primary schools). It has been used in elementary schools, and by thousands of students. Educational research reveals that over 82% of primary school students had some problems in using the correct stroke orders when writing Chinese characters, and the improvement exhibited by an experimental group was significant (F = 25.331, p < .005). [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=12420782&site=ehost-live&scope=site"
"Cognitive profiling towards formal adaptive technologies in web-based learning communities.","Kinshuk, Taiyu Lin","International Journal of Web Based Communities",="14778394",,="2004","1","1","103","6","15034060","10.1504/IJWBC.2004.004802","Inderscience Enterprises Ltd.","Article","Computer assisted instruction; Internet in education; Learning; Students; Cognition","adaptivity; cognitive traits; human cognition; individual profiles; learner model; student modelling; virtual learning environments; web-based communities","Virtual learning environments acquire learner profile for providing adaptivity features. Although sophisticated student modelling techniques are available in the literature for this purpose, they typically focus on performance of the learners. Individual cognitive attributes have largely been ignored till now. This paper describes a complementary approach that considers cognitive traits of learners that are in nature quite stable over one's lifetime. Individual profiling of learners' cognitive traits and cumulative analysis of various profiles within learners' communities have potential for adaptive systems to provide adaptivity not only to individual learners, but also to overarching web-based learning communities. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Web Based Communities is the property of Inderscience Enterprises Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=lls&AN=15034060&site=ehost-live&scope=site"
,"Callard-Szulgit, Rosemary",,="ERICRIE0",="978-1-57886-061-6",="20040101",,,,,"ED482638",,,"Books","Behavior Problems; Child Advocacy; Cognitive Processes; Coping; Elementary Secondary Education; Gifted; Psychological Characteristics; Self Esteem; Stress Management; Student Characteristics",,"This book explains how perfectionism can immobilize some children, cause social adjustment problems for others, and be a major contributing factor to why school assignments and personal responsibilities are not being completed by so many of todays gifted children. Chapter 1 discusses the characteristics of perfectionists. It explains that because perfectionists can see many solutions to one problem they often cannot feel comfortable with a finishing point. Chapter 2 presents the nine most prevalent myths about gifted children and the realities associated with them. The six profiles of gifted learners in the Autonomous Learner Model are outlined and common characteristics of gifted children are described. Chapters 3, 4, and 5 discuss common negative behaviors of perfectionists, the positives of perfectionism (none), and the negatives of perfectionism. Chapter 6 provides suggestions for recovering from perfectionism and chapter 7 provides answers to commonly asked questions about perfectionism. The last chapters focus on child advocacy, discuss strategies parents can use to ensure the needs of their gifted students are being met at school, and provide comments from gifted students on giftedness. An appendix provides resources. (Contains 15 references.) (CR)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=ED482638&site=ehost-live&scope=site"
"Student Modelling Based on Belief Networks.","Reye, Jim","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Apr2004","14","1","63","34","14093274",,"IOS Press","Article","Attitude (Psychology); Sensory perception; Students; Competency tests (Education); Ability testing; Outcome-based education",,"Belief networks provide an important way to represent and reason about uncertainty -- significant factors for modelling students. These networks provide a way of structuring such models, end allow a system to use a systematic approach when gathering information about the scope of the student's knowledge. This work also provides a theoretically-sound way to update the student model, based on the concept of a dynamic belief network. The relationship to related research is discussed. Finally, the paper describes why the barren node concept is important for computational efficiency in belief-net-based student models. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=14093274&site=ehost-live&scope=site"
"EXAMINING THE USE OF CONCEPTUAL GRAPHS IN ADAPTIVE WEB-BASED SYSTEMS THAT AID TERMINOLOGY LEARNING.","BONTCHEVA, KALINA; DIMITROVA, VANIA","International Journal on Artificial Intelligence Tools",="02182130",,="Jun2004","13","2","299","33","13621449","10.1142/S0218213004001569","World Scientific Publishing Company","Article","ONLINE education; GRAPHIC methods; LEARNING; TERMS & phrases; COMPUTER assisted instruction; EDUCATION; All Other Miscellaneous Schools and Instruction; Administration of Education Programs; Educational Support Services","adaptive web explanations; Conceptual graphs; learning technical terminology; student modelling","This paper discussed the use of Conceptual Graphs (CGs) for implementing tasks employed in web-based educational systems that aid terminology learning. Specifically, we focus on two critical issues in intelligent tutoring - student diagnosis and generation of adaptive explanations. Both tasks are demonstrated in terminological domains where learners have to familiarize themselves with concepts in a specific subject area (e.g. computing, finance, chemistry). Based on CG reasoning, robust and computationally tractable algorithms for student modelling and adaptive explanation generation are defined. Two intelligent systems are presented — STyLE-OLM and HYLITE+. STyLE-OLM is an interactive learner modelling system that extracts extended models of the learners' cognition. HYLITE+ is a natural language generation system that generates adaptive Web pages based on a learner model(LM). The two systems are complementary and have been implemented separately. However, considered together they cover most of the key tasks in adaptive web-based educational hypermedia that aid learning technical terminology. Based on evaluative studies of STyLE-OLM and HYLITE+, the use of CGs for interactive open student modelling and adaptive concept explanations is examined. The applicability of CGs in adaptive web-based systems that aid learning technical terminology is discussed. [ABSTRACT FROM AUTHOR] Copyright of International Journal on Artificial Intelligence Tools is the property of World Scientific Publishing Company and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=13621449&site=ehost-live&scope=site"
"Interacting with Inspectable Bayesian Student Models.","Zapata-Rivera, Juan-Diego; Greer, Jim E.","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Jul2004","14","2","127","37","14203631",,"IOS Press","Article","Teacher-student relationships; Computer systems; Educational technology; Educational innovations; Students; Teachers",,"Inspectable student models focus on the idea of letting students and teachers interact with the representation of the student that the system maintains. Both humans and the system can benefit from this interaction. By externalizing the student model and making it an object for inspection, several representational and interaction issues arise. This paper presents ViSMod (Visualization of Bayesian Student Models) an integrated tool to visualize and inspect distributed Bayesian student models. Using ViSMod, students and teachers can understand, explore, inspect, and modify Bayesian student models. ViSMod offers a practical tool that helps students and teachers to engage in negotiated assessment processes. Student models in ViSMod follow the Bayesian belief net backbone structure proposed by Reye (1996), which describes both cognitive and social aspects of the student. In addition, we report on a usability study of the ViSMod tool and an exploratory study focused on the effects of employing various levels of guidance and support in the way students interact with inspectable Bayesian student models. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=14203631&site=ehost-live&scope=site"
"Interactive E-Learning.","Ghaoui, Claude; Janvier, W. A.","International Journal of Distance Education Technologies",="15393100",,="Jul-Sep2004","2","3","26","10","13575453","10.4018/jdet.2004070103","IGI Global, Inc.","Article","DISTANCE education; TUTORS & tutoring; HUMAN-computer interaction; LONG-term memory; EDUCATION; All Other Miscellaneous Schools and Instruction; Administration of Education Programs; Educational Support Services; Exam Preparation and Tutoring; All other schools and instruction","communication performance; distance learning tool; human-computer interactive interface; interactive intelligent tutoring system; learning styles; memory retention; motivational factors; neurolinguistic programming language patterns; novice/expert factor; remembering; student model; subliminal text messaging; teaching styles","This paper introduces the concept of improving student memory retention using a distance learning tool by establishing the student's communication preference and learning style before the student uses the module contents. It argues that incorporating a distance learning tool with an intelligent/interactive tutoring system using various components (psychometric tests, communication preference, learning styles, mapping learning/teaching styles, neurolinguistic programming language patterns, subliminal text messaging, motivational factors, novice/expert factor, student model, and the way we learn) combined in WISDeM to create a human-computer interactive interface distance learning tool does indeed enhance memory retention. The authors show that WISDeM's initial evaluation indicates that a student's retained knowledge has been improved from a mean average of 63.57% to 71.09% -- moving the student from a B to an A. [ABSTRACT FROM AUTHOR] Copyright of International Journal of Distance Education Technologies is the property of IGI Global, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=13575453&site=ehost-live&scope=site"
"Toulmin and Beyond: Commentary on Michael Kane's ""Certification Testing as an Illustration of Argument-Based Validation""","Mislevy, Robert J.","Measurement",="15366367",,="Aug2004","2","3","185","7","13907147",,"Taylor & Francis Ltd","Article","EXAMINATIONS; TEACHING; PROBLEM solving; DECISION making; CERTIFICATION; SIMULATION methods & models; KANE, Michael",,"In ""Certification Testing as an Illustration of Argument-Based Validation,"" researcher Michael Kane adopts the perspective of argumentation to validating certification tests. He reviews the history of validation as argumentation, with an emphasis on construct validity. A key idea is that a mass of heterogeneous evidence becomes comprehensible only through the flow of narrative, a story, as it were, that left its trace of physical and testimonial evidence--actually, stories rather than story. Insights into how people acquire and use knowledge are increasingly important for assessment, as they define targets of instruction. Performances such as simulation-based problem solving and documentation of teaching practices call for student models more complex than overall proficiency in a domain of tasks and interactive or multifaceted tasks that do not produce single conditionally independent scores.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=13907147&site=ehost-live&scope=site"
"An Intelligent Tutoring System for Entity Relationship Modelling.","Suraweera, Pramuditha; Mitrovic, Antonija","International Journal of Artificial Intelligence in Education (IOS Press)",="15604292",,="Oct2004","14","3/4","375","43","15285842",,"IOS Press","Article","Intelligent tutoring systems; Computers & college students; Entity-relationship modeling; Knowledge management; Artificial intelligence in education",,"The paper presents KERMIT, a Knowledge-based Entity Relationship Modelling Intelligent Tutor. KERMIT is a problem-solving environment for the university-level students, in which they can practise conceptual database design using the Entity-Relationship data model. KERMIT uses Constraint-Based Modelling (CBM) to model the domain knowledge and generate student models. We have used CBM previously in tutors that teach SQL and English punctuation rules. The research presented in this paper is significant because we show that CBM can be used to support students learning design tasks, which are very different from domains we dealt with in earlier tutors. The paper describes the system's architecture and functionality. The system observes students' actions and adapts to their knowledge and learning abilities. KERMIT has been evaluated in the context of genuine teaching activities. We present the results of two evaluation studies with students taking database courses, which show that KERMIT is an effective system. The students have enjoyed the system's adaptability and found it a valuable asset to their learning. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=15285842&site=ehost-live&scope=site"
"Inspectable Bayesian student modelling servers in multi-agent tutoring systems","Zapata-Rivera, Juan-Diego; Greer, Jim","International Journal of Human-Computer Studies",="10715819",,="Oct2004","61","4","535","29","14247703","10.1016/j.ijhcs.2003.12.017","Academic Press Inc.","Article","RESEARCH; MATHEMATICAL models; STUDENTS; VISUAL perception",,"User modelling shells and learner modelling servers have been proposed in order to provide reusable user/student model information over different domains, common inference mechanisms, and mechanisms to handle consistency of beliefs from different sources. Open and inspectable student models have been investigated by several authors as a means to promote student reflection, knowledge awareness, collaborative assessment, self-assessment, interactive diagnosis, to arrange groups of students, and to support the use of students’ models by the teacher.This paper presents SModel, a Bayesian student modelling server used in distributed multi-agent environments. SModel server includes a student model database and a Bayesian student modelling component. SModel provides several services to a group of agents in a CORBA platform. Users can use ViSMod, a Bayesian student modelling visualization tool, and SMV, a student modelling database viewer, to visualize and inspect distributed Bayesian student models maintained by SModel server. SModel has been tested in a multi-agent tutoring system for teaching basic Java programming. In addition, SModel server has been used to maintain and share student models in a study focussed on exploring the existence of student reflection and analysing student model accuracy using inspectable Bayesian student models. [Copyright &y& Elsevier] Copyright of International Journal of Human-Computer Studies is the property of Academic Press Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=14247703&site=ehost-live&scope=site"
"Self Organising Wayfinding Support for Lifelong Learners.","Tattersall, Colin; Manderveld, Jocelyn; Berg, Bert; Es, René; Janssen, José; Koper, Rob","Education & Information Technologies",="13602357",,="Jan2005","10","1/2","111","13","16947882","10.1007/s10639-005-6750-9","Springer Nature","Article","Learning; Behavior; Urban planning; Architecture; Architectural design; Construction industry","educational wayfinding; lifelong learning; self-directed learning; self-organisation","Lifelong learning puts learner self-direction centre-stage. However, increased responsibility should not come at the price of over-burdening or abandonment of learners as they progress along their learning journey. This paper introduces an approach to wayfinding support for lifelong learners based on self-organisation theory. It describes an architecture which supports the recording, processing and presentation of collective learner behaviour designed to create a feedback loop informing learners of successful paths towards the attainment of learning goals. The approach is presented as an alternative to methods of achieving adaptation in hypermedia-based learning environments which involve learner modelling. The article concludes with a discussion of the questions being addressed in our ongoing research. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=16947882&site=ehost-live&scope=site"
"Historical Text Comprehension Reflective Tutorial Dialogue System","Grigoriadou, Maria; Tsaganou, Grammatiki; Cavoura, Theodora","Educational Technology & Society",="14364522",,="20050101","8","4","31",,"EJ846686",,,"Journal Articles","Individualized Instruction; Cognitive Style; Communication Strategies; Discourse Analysis; History Instruction; Intelligent Tutoring Systems; Natural Language Processing; Knowledge Representation; Educational Technology; Computer Assisted Instruction; Computer System Design; Reflection; Tutoring; Feedback (Response); Content Area Reading; Reading Comprehension; Instructional Design",,"The Reflective Tutorial Dialogue System (ReTuDiS) is a system for learner modelling historical text comprehension through reflective dialogue. The system infers learners' cognitive profiles and constructs their learner models. Based on the learner model the system plans the appropriate--personalized for learners--reflective tutorial dialogue in order to promote their reflection, a fact which leads them towards scientific thought. The system consists of two parts: (1) the Diagnosis part and (2) the Reflective Tutorial Dialogue part. In this paper we present the dialogue strategies, tactics and plans which are used by the dialogue part for the generation of the appropriate for learners' reflective learning dialogues according to their learner models. Moreover, in this paper we present the experts' comments concerning the tutorial dialogue during an experiment. (Contains 3 figures and 6 tables.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ846686&site=ehost-live&scope=site"
