"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Date published","ISBN","ISSN","ISSN (alt.)","URLs","Abstract","Keywords","Series"
"Journal Article","Wang X,Zhao S,Guo L,Zhu L,Cui C,Xu L","","IEEE/CAA Journal of Automatica Sinica, Automatica Sinica, IEEE/CAA Journal of, IEEE/CAA J. Autom. Sinica","2023","10","11","2108-2123","","","2023-11-01","","2329-9266","2329-9274","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10266657&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","With the popularity of online learning in educational settings, knowledge tracing (KT) plays an increasingly significant role. The task of KT is to help students learn more effectively by predicting their next mastery of knowledge based on their historical exercise sequences. Nowadays, many related works have emerged in this field, such as Bayesian knowledge tracing and deep knowledge tracing methods. Despite the progress that has been made in KT, existing techniques still have the following limitations: 1) Previous studies address KT by only exploring the observational sparsity data distribution, and the counterfactual data distribution has been largely ignored. 2) Current works designed for KT only consider either the entity relationships between questions and concepts, or the relations between two concepts, and none of them investigates the relations among students, questions, and concepts, simultaneously, leading to inaccurate student modeling. To address the above limitations, we propose a graph counterfactual augmentation method for knowledge tracing. Concretely, to consider the multiple relationships among different entities, we first uniform students, questions, and concepts in graphs, and then leverage a heterogeneous graph convolutional network to conduct representation learning. To model the counterfactual world, we conduct counterfactual transformations on students' learning graphs by changing the corresponding treatments and then exploit the counterfactual outcomes in a contrastive learning framework. We conduct extensive experiments on three real-world datasets, and the experimental results demonstrate the superiority of our proposed GraphCA method compared with several state-of-the-art baselines.","Computing and Processing, Communication, Networking and Broadcast Technologies, General Topics for Engineers, Robotics and Control Systems, Representation learning, Knowledge engineering, Knowledge based systems, Data models, Bayes methods, Convolutional neural networks, Task analysis, Contrastive learning, counterfactual representation, graph neural network, knowledge tracing",""
"Journal Article","Han D,Kim D,Kim M,Han K,Yi MY","","Applied Intelligence: The International Journal of Research on Intelligent Systems for Real Life Complex Problems","2023","","","1-18","","","2023-10-26","","0924-669X","1573-7497","https://search.ebscohost.com/login.aspx?direct=true&db=edssjs&AN=edssjs.BF95FB7F&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The COVID-19 pandemic has led to a surge in online education, yielding increased attention on knowledge tracing (KT). KT involves predicting a student’s mastery of knowledge based on the student’s learning activity and plays a crucial role for recommending appropriate educational content at the individual level. While several deep learning-based KT models have been proposed, most consider only the interaction sequence of the target student, ignoring the interactions of other students. Furthermore, in practice, all model graphs should be incremented as more student interaction data is obtained, implying that they should be rebuilt to remain up-to-date, which is time-consuming. Moreover, existing graph-based KT models typically rely on predefined knowledge graphs for graph-based learning. Constructing a knowledge graph is labor-intensive, requiring a higher understanding of the domain knowledge. To address these problems, we propose a new inductive graph-based KT (IGKT) framework, which fully utilizes a subgraph extraction approach from a student-exercise bipartite graph, promising scalability and efficiency for practical applicability. The proposed framework consists of three key components: subsequence extraction, subgraph extraction and exericse information addition, and graph-based correctness prediction. For the third component, we test three variants to determine the effectiveness of integrating the timestamp and graph information, thereby creating three models for comparison: IGKT-Basic, IGKT with timestamps (IGKT-TS), and IGKT with graph attention layers that incorporate timestamps as edge features (IGKT-GAT). Extensive experiments conducted on multiple real-world datasets show that the models based on the proposed framework are superior over state-of-the-art models, and IGKT-GAT is the most effective implementation of the proposed framework. We further validate the effectiveness of the IGKT models through an ablation study and multiple in-depth analyses.Graphical abstract:","Knowledge tracing, Graph-based knowledge tracing, Inductive graph, IGKT",""
"Journal Article","Cui J,Chen Z,Zhou A,Wang J,Zhang WEI","Fine-Grained Interaction Modeling with Multi-Relational Transformer for Knowledge Tracing","ACM Transactions on Information Systems","2023","41","4","1-26","","","2023","","1046-8188","","https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=172034538&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","The article focuses on enhancing knowledge tracing in education through fine-grained interaction modeling using a Multi-Relational Transformer (MRT-KT). It explores various forms of interactions between question-response pairs within student sequences and introduces a novel relation encoding scheme based on knowledge concepts and student performance.","Knowledge tracing, multi-relational transformer, user behavior modeling",""
"Journal Article","Mao A,Zhu M,Huang E,Yao X,Liu K","A teacher-to-student information recovery method toward energy-efficient animal activity recognition at low sampling rates","Computers & Electronics in Agriculture","2023","213","","N.PAG-N.PAG","","","2023","","0168-1699","","https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=172844797&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","• Proposed a novel deep learning method to promote animal activity recognition (AAR) at low sampling rates. • Transferred knowledge from high-sampling-rate data to model trained on low-sampling-rate data. • Facilitated student model to extract more complete features via a reconstruction network. • Guided student features to mimic internal correlations within teacher features. • Has great application potential for energy-efficient wearable sensor-aided AAR systems. Automated animal activity recognition (AAR) has advanced greatly through recent advances in sensing technologies and deep learning, and improved livestock management efficiency, animal health, and welfare monitoring. In practical automated AAR systems where animals need to be monitored over a long period, the sampling rate dramatically affects the energy consumption and battery life of sensing devices due to continuous data collection and transmission. Considering real-world benefits, existing works have often lowered the sa)","KNOWLEDGE transfer, GYROSCOPES, TEACHER training, ABILITY grouping (Education), ENERGY industries, DEEP learning, WIRELESS sensor networks, ANIMAL health, ENERGY consumption, Behavioral classification, Deep learning, Knowledge distillation, Reconstruction, Resampling",""
"Journal Article","Kay J","Foundations for Human-AI teaming for self-regulated learning with explainable AI (XAI)","Computers in Human Behavior","2023","147","","N.PAG-N.PAG","","","2023","","0747-5632","","https://search.ebscohost.com/login.aspx?direct=true&db=asx&AN=165122213&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","This discussion takes a human-centred perspective of the contributions of the collection. Its papers explore diverse, new uses of AI with rich, multimedia sensor data towards new ways to measure and understand self-regulated learning. This work can contribute to the learning sciences. It can also provide a foundation for future personalised teaching and learning systems with explainable AI (XAI) and learner control. I will discuss the papers from that perspective with a focus on an important form of XAI in education – the Open Learner Models (OLM). When suitably designed, OLMs can empower a learner to: (1) contribute data about themself and their self-regulated learning processes, complementing conventional and multimedia data; (2) scrutinise and control learner data collection and use in AI-based systems and (3) be the controlling partner in AI-teaming that scaffolds their self-regulated learning processes. [ABSTRACT FROM AUTHOR], Copyright of Computers in Human Behavior is the prope)","MULTIMEDIA systems, TEACHING methods, USER interfaces, SELF-control, ARTIFICIAL intelligence, LEARNING strategies, DATABASE management, Explainable AI (XAI), Learner control, Open learner model (OLM), Scrutability, Self-regulated learning",""
"Journal Article","Fu EY,Ngai G,Leong HV,Chan SC,Shek DT","Using attention-based neural networks for predicting student learning outcomes in service-learning","Education & Information Technologies","2023","28","10","13763-13789","","","2023-10","","1360-2357","","https://search.ebscohost.com/login.aspx?direct=true&db=eue&AN=172442993&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","As a high-impact educational practice, service-learning has demonstrated success in positively influencing students' overall development, and much work has been done on investigating student learning outcomes from service-learning. A particular direction is to model students' learning outcomes in the context of their learning experience, i.e., the various student, course, and pedagogical elements. It contributes to a better understanding of the learning process, a more accurate prediction of students' attainments on the learning outcomes, and improvements in the design of learning activities to maximize student learning. However, most of the existing work in this area relies on statistical analysis that makes assumptions about attribute independence or simple linear dependence, which may not accurately reflect real-life scenarios. In contrast, the study described in this paper adopted a neural network-based approach to investigate the impact of students' learning experience on different service-learning outcomes. A neural network with attention mechanisms was constructed to predict students' service-learning outcomes by modeling the contextual information from their various learning experiences. In-depth evaluation experiments on a large-scale dataset collected from more than 10,000 students showed that this proposed model achieved better accuracy on predicting service-learning outcomes. More importantly, it could capture the interdependence between different aspects of student learning experience and the learning outcomes. We believe that this framework can be extended to student modeling for other types of learning activities. [ABSTRACT FROM AUTHOR]","Service learning, Higher education, Classrooms, Educational technology, COVID-19 pandemic, Artificial neural networks, Technological innovations",""
"Journal Article","Yadav M","","Educational Technology Quarterly","2023","","","","","","2023-10-01","","2831-5332","","https://search.ebscohost.com/login.aspx?direct=true&db=edsdoj&AN=edsdoj.34ba1ec3cd344ed5aa70b0d0e83fd9a6&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Education often involves categorizing students into broad groups based on perceived attributes like academic abilities, learning pace, and unique challenges. However, the validity and applicability of these stereotypes require closer examination. This research investigates student grouping factors, exploring both conventional variables like gender and education level, as well as innovative methodologies that utilize students’ problem-solving behaviors. The study critically evaluates the effectiveness of these grouping techniques in capturing and distinguishing students’ diverse learning patterns. Through a comprehensive analysis of ten methodologies used to cluster students in traditional programming courses and programming MOOCs, we aim to reveal how students from different cohorts exhibit varying learning behaviors and outcomes. By examining diverse models of student learning, we assess whether students in distinct groups indeed demonstrate discernible disparities in their educational journeys. Our meticulous data analysis uncovers compelling insights that challenge the notion of predefined student stereotypes and their practical utility within group-based adaptation settings. This research contributes to the discourse on student grouping by highlighting the limitations of traditional categorizations and introducing innovative approaches to understanding student diversity and tailoring educational interventions accordingly. By transcending simplistic generalizations, we strive to foster a nuanced understanding of students’ individual strengths, challenges, and potentials, promoting inclusive and effective educational practices.","individual differences, Java, MOOC, student modeling, Education",""
"Journal Article","Kim J,Koo S,Lim H","","Electronics","2023","12","4171","4171-4171","","","2023-10-01","","2079-9292","","https://search.ebscohost.com/login.aspx?direct=true&db=edsdoj&AN=edsdoj.53bac021c364450b1392c2f87cd1b51&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Knowledge tracing (KT) aims to trace a learner’s understanding or achievement of knowledge based on learning history. The surge in online learning systems has intensified the necessity for automated measurement of students’ knowledge states. In particular, in the case of learning in the English proficiency assessment field, such as TOEIC, it is required to model the knowledge states by reflecting on the difficulty of questions. However, previous KT approaches often overly complexify their model structures solely to accommodate difficulty or consider it only for a secondary purpose such as data augmentation, hindering the adaptability of potent and general-purpose models such as Transformers to other cognitive components. Addressing this, we investigate the integration of question difficulty within KT with a potent general-purpose model for application in English proficiency assessment. We conducted empirical studies with three approaches to embed difficulty effectively: (i) reconstructing input features by incorporating difficulty, (ii) predicting difficulty with a multi-task learning objective, and (iii) enhancing the model’s output representations from (i) and (ii). Experiments validate that direct inclusion of difficulty in input features, paired with enriched output representations, consistently amplifies KT performance, underscoring the significance of holistic consideration of difficulty in the KT domain.","knowledge tracing, question difficulty, English proficiency assessment, transformers, multitask learning, Electronics, TK7800-8360",""
"Journal Article","Kim J,Koo S,Lim H","A Multi-Faceted Exploration Incorporating Question Difficulty in Knowledge Tracing for English Proficiency Assessment","Electronics (2079-9292)","2023","12","19","4171","","","2023-10","","2079-9292","","https://search.ebscohost.com/login.aspx?direct=true&db=edb&AN=172986016&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Knowledge tracing (KT) aims to trace a learner's understanding or achievement of knowledge based on learning history. The surge in online learning systems has intensified the necessity for automated measurement of students' knowledge states. In particular, in the case of learning in the English proficiency assessment field, such as TOEIC, it is required to model the knowledge states by reflecting on the difficulty of questions. However, previous KT approaches often overly complexify their model structures solely to accommodate difficulty or consider it only for a secondary purpose such as data augmentation, hindering the adaptability of potent and general-purpose models such as Transformers to other cognitive components. Addressing this, we investigate the integration of question difficulty within KT with a potent general-purpose model for application in English proficiency assessment. We conducted empirical studies with three approaches to embed difficulty effectively: (i) reconstruc)","LANGUAGE ability, DATA augmentation, ONLINE education, INSTRUCTIONAL systems, SECONDARY analysis, English proficiency assessment, knowledge tracing, multitask learning, question difficulty, transformers",""
"Journal Article","Asselman A,Khaldi M,Aammou S","Enhancing the prediction of student performance based on the machine learning XGBoost algorithm","Interactive Learning Environments","2023","31","6","3360-3379","","","2023","","1049-4820","","https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=170717773&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Performance Factors Analysis (PFA) is considered one of the most important Knowledge Tracing (KT) approaches used for constructing adaptive educational hypermedia systems. It has shown a high prediction accuracy against many other KT approaches. While, the desire to estimate more accurately the student level leads researchers to enhance PFA by inventing several advanced extensions. However, most of the proposed extensions have exclusively been improved in a pedagogical sense, as the improvements have mostly been limited to the analysis of students' behaviour during their learning process. In contrast, Machine Learning provides many powerful methods that could be efficient to enhance, in the technical sense, the prediction of student performance. Our goal is to focus on the exploitation of Ensemble Learning methods as an extremely effective Machine Learning paradigm used to create many advanced solutions in several fields. In this sense, we propose a new PFA approach based on different)","MACHINE learning, COMPUTER algorithms, EDUCATION, ACQUISITION of data, PSYCHOLOGY of students, ensemble learning, knowledge tracing, machine learning, Performance factors analysis, prediction accuracy, XGBoost",""
"Journal Article","Ley T,Tammets K,Pishtari G,Chejara P,Kasepalu R,Khalil M,Saar M,Tuvi I,Väljataga T,Wasson B","Towards a partnership of teachers and intelligent learning technology: A systematic literature review of model‐based learning analytics","Journal of Computer Assisted Learning","2023","39","5","1397-1417","","","2023","","0266-4909","","https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=171903688&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Background: With increased use of artificial intelligence in the classroom, there is now a need to better understand the complementarity of intelligent learning technology and teachers to produce effective instruction. Objective: The paper reviews the current research on intelligent learning technology designed to make models of student learning and instruction transparent to teachers, an area we call model‐based learning analytics. We intended to gain an insight into the coupling between the knowledge models that underpin the intelligent system and the knowledge used by teachers in their classroom decision making. Methods: Using a systematic literature review methodology, we first identified 42 papers, mainly from the domain of intelligent tutoring systems and learning analytics dashboards that conformed to our selection criteria. We then qualitatively analysed the context in which the systems were applied, models they used and benefits reported for teachers and learners. Results and)","TEACHING methods, COMPUTER assisted instruction, SYSTEMATIC reviews, LEARNING strategies, COMPARATIVE studies, INTERPROFESSIONAL relations, TEACHERS, STUDENTS, DECISION making, EDUCATIONAL technology, INTELLECT, DESCRIPTIVE statistics, RESEARCH funding, adaptive learning technology, hybrid human‐AI technologies, intelligent tutoring systems, learning analytics, systematic literature review, teacher dashboards",""
"Journal Article","Alatrash R,Priyadarshini R,Ezaldeen H","Collaborative filtering integrated fine-grained sentiment for hybrid recommender system","Journal of Supercomputing","2023","","","1-48","","","2023","","0920-8542","","https://search.ebscohost.com/login.aspx?direct=true&db=asx&AN=172268672&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Developing online educational platforms necessitates the incorporation of new intelligent procedures in order to improve long-term student experience. Presently, e-learning Recommender Systems rely on deep learning methods to recommend appropriate e-learning materials to the students based on their learner profiles. Fine-grained sentiment analysis (FSA) can be leveraged to enrich the recommender system. Users posted reviews and rating data are vital in accurately directing the student to the appropriate e-learning resources based on posted comments by comparable learners. Innovative has been made in this work to propose a new e-learning recommendation system based on individualization and FSA. A new framework is proposed based on collaborative filtering models (CFMs) integrating with fine-grained sentiment analysis (FSA) for hybrid recommendation (CFISAR) for effective recommendations. CFMs attempt to capture the learner's latent factors based on their selections of interest to build )","Collaborative filtering, E-learning adaptation, Fine-grained sentiment analysis, Natural language processing, Recommender system",""
"Miscellaneous","Tian B,Wang C,Hong H","","","2023","","","","IEEE","","2023-09-15","","","","https://search.ebscohost.com/login.aspx?direct=true&db=edseee&AN=edseee.10277850&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Personalized adaptive learning provides smart education with technologies and methodological techniques that enable the personalized aspirations of learners. This paper analyses the relevant literature and elaborates on the concept and impact of personalized adaptive learning. The research on personalized adaptive learning systems is systematically reviewed and interpreted from three aspects: learner models, learning resource models and algorithms for learning recommendations. The general framework of personalized adaptive learning systems is first summarized, followed by the ideas and methods for constructing learning resource models, then the implementation mechanism of learner models is explored, and then the recommendation algorithms for learning resources are summarized and their shortcomings are summarized. Finally, the future development direction of personalized adaptive learning systems is also foreseen, laying the foundation for further in-depth research on intelligent learning.","",""
"Journal Article","Sun P,Yang S,Guan H,Mo T,Yu B,Chen Z","MTAN: A semi-supervised learning model for kidney tumor segmentation","Journal of X-ray science and technology","2023","","","","","","2023","","1095-9114","","https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=37718833&site=eds-live&scope=site&authtype=sso&custid=cjrlc016","Background: Medical image segmentation is crucial in disease diagnosis and treatment planning. Deep learning (DL) techniques have shown promise. However, optimizing DL models requires setting numerous parameters, and demands substantial labeled datasets, which are labor-intensive to create.; Objective: This study proposes a semi-supervised model that can utilize labeled and unlabeled data to accurately segment kidneys, tumors, and cysts on CT images, even with limited labeled samples.; Methods: An end-to-end semi-supervised learning model named MTAN (Mean Teacher Attention N-Net) is designed to segment kidneys, tumors, and cysts on CT images. The MTAN model is built on the foundation of the AN-Net architecture, functioning dually as teachers and students. In its student role, AN-Net learns conventionally. In its teacher role, it generates objects and instructs the student model on their utilization to enhance learning quality. The semi-supervised nature of MTAN allows it to effectively utilize unlabeled data for training, thus improving performance and reducing overfitting.; Results: We evaluate the proposed model using two CT image datasets (KiTS19 and KiTS21). In the KiTS19 dataset, MTAN achieved segmentation results with an average Dice score of 0.975 for kidneys and 0.869 for tumors, respectively. Moreover, on the KiTS21 dataset, MTAN demonstrates its robustness, yielding average Dice scores of 0.977 for kidneys, 0.886 for masses, 0.861 for tumors, and 0.759 for cysts, respectively.; Conclusion: The proposed MTAN model presents a compelling solution for accurate medical image segmentation, particularly in scenarios where the labeled data is scarce. By effectively utilizing the unlabeled data through a semi-supervised learning approach, MTAN mitigates overfitting concerns and achieves high-quality segmentation results. The consistent performance across two distinct datasets, KiTS19 and KiTS21, underscores model's reliability and potential for clinical reference.","AN-Net, KiTS, MTAN, Medical image segmentation, kidney tumor segmentation, semi-supervised learning",""
