Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,Version,Version History,DOI,Book DOI,License Name,License URI,License Description,Early Access Date,Supplement,Document Type,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,Language,Advisor,Committee Member,Copyright,Degree Name,Institution Address,Institution,Dissertation and Thesis Subjects,Author Keywords,Indexed Date,UT (Unique ID),Pubmed Id
S,"Martin, B; Mitrovic, A",,,,,,"Ardissono, L; Brna, P; Mitrovic, A",,Using learning curves to mine student models,,,,,,,,"USER MODELING 2005, PROCEEDINGS",,Lecture Notes in Artificial Intelligence,,3538,,,,79,88,,,,,,,,,,,Article; Proceedings Paper,2005,2005,"This paper presents an evaluation study that measures the effect of modifying feedback generality in an Intelligent Tutoring System (ITS) based on Student Models. A taxonomy of the tutor domain was used to group existing knowledge elements into plausible, more general, concepts. Existing student models were then used to measure the validity of these new concepts, demonstrating that at least some of these concepts appear to be more effective at capturing what the students learned than the original knowledge elements. We then trialled an experimental ITS that gave feedback at a higher level. The results suggest that it is feasible to use this approach to determine how feedback might be fine-tuned to better suit student learning, and hence that learning curves are a useful tool for mining student models.",,,,,10th International Conference on User Modeling10th International Conference on User Modeling,"JUL 24-29, 2005JUL 24-29, 2005",,"Edinburgh, SCOTLANDEdinburgh, SCOTLAND",5,0,0,0,0,0,5,,,0302-9743,1611-3349,3-540-27885-0,,,,,,"Univ Canterbury, Dept Comp Sci & Software EZngn, Intelligent Comp Tutoring Grp, Christchurch 1, New Zealand",,,,2005-01-01,WOS:000231387200011,
J,"Thinakaran, Rajermani; Chuprat, Suriayati",,,,"Thinakaran, Rajermani/GNM-5784-2022","Thinakaran, Rajermani/0000-0002-9525-8471",,,Students? Characteristics of Student Model in Intelligent Programming Tutor for Learning Programming: A Systematic Literature Review,,,,,,,,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,,,,13,7,,,669,676,,,,,,,,,,,Review,JUL 2022,2022,"This study describes preliminary results of a research related to Intelligent Programming Tutor (IPT) which is derived from Intelligent Tutoring System (ITS). The system architecture consists of four models. However, in this study student model mainly student characteristic was focused. From literature, 44 research articles were identified from a number of digital databases published between 1997 to 2022 base on systematic literature review (SLR) method. The findings show that the majority 48% of IPT implementation focuses on knowledge and skills. While 52% articles focused on a combination of two to three student characteristics where one of the combinations is knowledge and skill. When narrow down, 25% focused on knowledge and skills with errors or misconceptions; 4% focused on knowledge and skill with cognitive features; 5% focused focus on knowledge and skill with affective features; 2% focused on knowledge and skill with motivation; and 9% based on knowledge and skill with learning style and learning preferences as students' characteristics to build their student model. Whereas 5% focused on a combination of three student characters which are knowledge and skill with cognitive and affective features and 2% focused on knowledge and skill with learning styles and learning preferences and motivation as students' characteristics to construct the tutoring system student model. To provide an appropriate tutoring system for the students, students' characteristic needs to decide for the student model before developing the tutoring system. From the findings, it can say that knowledge and skills is an essential students' characteristic used to construct the tutoring system student model. Unfortunately, other students' characteristic is less considered especially students' motivation.",,,,,,,,,0,0,0,0,0,0,0,,,2158-107X,2156-5570,,,,,,,"INTI Int Univ Nilai, Fac Data Sci & Informat Technol, Negeri Sembilan, MalaysiaUniv Teknol Malaysia Kuala Lumpur, Razak Fac Technol & Informat, Kuala Lumpur, Malaysia",INTI Int Univ Nilai,,,2022-10-01,WOS:000859282200001,
S,"Guo, Zinan; Greer, Jim",,,,,,"Nejdl, W; Tochtermann, K",,Electronic portfolios as a means for initializing learner models for adaptive tutorials,,,,,,,,"INNOVATIVE APPROACHES FOR LEARNING AND KNOWLEDGE SHARING, PROCEEDINGS",,Lecture Notes in Computer Science,,4227,,,,482,487,,,,,,,,,,,Article; Proceedings Paper,2006,2006,Using electronic portfolios (e-portfolios) to assist learning is an important component of future educational models. We show how to use the information contained in e-portfolios to initialize learner models for adaptive tutorials. E-portfolios become sources of evidence for claims about prior conceptual knowledge or skills. An experiment is designed for testing how accurate a model can be built and how beneficial this approach can be for reflective and personalized learning. Monitoring this process can also help tutorial developers and experts identify how initial learner models may automatically arise from e-portfolios.,,,,,1st European Conference on Technology Enhanced Learning (EC-TEL 2006)1st European Conference on Technology Enhanced Learning (EC-TEL 2006),"OCT 01-04, 2006OCT 01-04, 2006",PRO LEARN; Pro LC; ARIADNE; IMC; PROLIX; GIUNTI Labs; X Learning CoPRO LEARN; Pro LC; ARIADNE; IMC; PROLIX; GIUNTI Labs; X Learning Co,"Crete, GREECECrete, GREECE",6,0,0,0,0,0,6,,,0302-9743,1611-3349,3-540-45777-1,,,,,,"Univ Saskatchewan, Dept Comp Sci, ARIES Lab, Saskatoon, SK S7N 5C9, Canada",,,,2006-01-01,WOS:000241812400040,
S,"Jeremic, Z; Devedzic, V",,,,"Devedzic, Vladan/AAM-3208-2020","Devedzic, Vladan/0000-0002-5790-0240","Negoita, MG; Howlett, RJ; Jain, LC",,Student modeling in design pattern ITS,,,,,,,,"KNOWLEDGE-BASED INTELLIGENT INFORMATION AND ENGINEERING SYSTEMS, PT 1, PROCEEDINGS",,Lecture Notes in Computer Science,,3213,,,,299,305,,,,,,,,,,,Article; Proceedings Paper,2004,2004,"This paper presents Student model implementation of Design Pattern's intelligent tutoring system. To our knowledge there hasn't been realized at least one intelligent tutoring system for learning Design Patterns. Some software tools, like Rational XDE have support for Design Patterns. There are many approaches and technologies for student modeling, but choosing the right one depends on the information that model should contain. In suggested solution, student model is created by using model template which is filled in with new attribute values. The model represents a global solution which can be applied in other domains and also supports simultaneous user exploitation.",,,,,8th International Conference on Knowledge-Based Intelligent Information and Engineering Systems8th International Conference on Knowledge-Based Intelligent Information and Engineering Systems,"SEP, 2004SEP, 2004",Royal Soc New Zealand; IPENZ; New Zealand Trade & Enterprise; Telecom; Allied Telesyn; Positively Wellington BusinessRoyal Soc New Zealand; IPENZ; New Zealand Trade & Enterprise; Telecom; Allied Telesyn; Positively Wellington Business,"Wellington Inst Technol, Wellington, NEW ZEALANDWellington Inst Technol, Wellington, NEW ZEALAND",1,0,0,0,0,0,1,,,0302-9743,1611-3349,3-540-23318-0,,,,,,"Univ Belgrade, FON Sch Business Adm, YU-11000 Belgrade, Serbia",,,,2004-01-01,WOS:000224585300044,
S,"Conati, Cristina",,,,,,"Nkambou, R; Bourdeau, J; Mizoguchi, R",,Bayesian Student Modeling,,,,,,,,ADVANCES IN INTELLIGENT TUTORING SYSTEMS,,Studies in Computational Intelligence,,308,,,,281,299,,,,,10.1007/978-3-642-14363-2,,,,,,Article; Book Chapter,2010,2010,"Bayesian networks are a formalism for reasoning under uncertainty that has been widely adopted in Artificial Intelligence (AI). Student modeling, i.e., the process of having an ITS build a model of relevant student's traits/states during interaction, is a task permeated with uncertainty, which naturally calls for probabilistic approaches. In this chapter, I will describe techniques and issues involved in building probabilistic student models based on Bayesian networks and their extensions. I will describe pros and cons of this approach, and discuss examples from existing Intelligent Tutoring Systems that rely on Bayesian student models",,,,,,,,,14,0,1,0,1,0,15,,,1860-949X,,978-3-642-14362-5,,,,,,"Univ British Columbia, Dept Comp Sci, Vancouver, BC V6G 3C1, Canada",,,,2010-01-01,WOS:000281964500014,
J,"Bull, Susan",,,,"Bull, Susan/G-4362-2016","Bull, Susan/0000-0003-1515-6641; Bull, Susan/0000-0002-1779-528X",,,There are Open Learner Models About!,,,,,,,,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,,,,13,2,,,425,448,,,,10.1109/TLT.2020.2978473,,,,,,,Article,APR-JUN 2020,2020,"This overview outlines key issues in learning with an open learner model (OLM). Originally, learner models remained hidden, as their primary role was to enable a system to personalize the educational interaction. Opening the model in an understandable form provides additional methods of prompting reflection, planning, and other metacognitive activities that are important in learning. Learner-system discussion, editing or other interaction about the learner model can allow users to contribute more directly to the modeling process to increase its accuracy, while at the same time, further facilitating reflection as they justify their viewpoints to themselves and the system. Social learning can be supported by opening learner models to peers, helping learners to gauge their relative progress, and effectively seek collaborators. OLMs can also provide useful information to others supporting the learning process, such as teachers and parents. OLMs are set to take an increasing role as new learning technologies develop.",,,,,,,,,33,0,0,0,0,0,33,,,1939-1382,,,,,,,,"Learning Technol Consultant & Researcher, London, England",Learning Technol Consultant & Researcher,,,2020-07-16,WOS:000545023500016,
J,"Wu, Lan",,,,,"wu, lan/0000-0001-5137-5417",,,Student model construction of intelligent teaching system based on Bayesian network,,,,,,,,PERSONAL AND UBIQUITOUS COMPUTING,,,,24,3,SI,,419,428,,,,10.1007/s00779-019-01311-3,,,,,OCT 2019,,Article,JUN 2020,2020,"The intelligent teaching system is the most important in the field of teaching. It uses artificial intelligence technology to bring a lot of help to learners in terms of knowledge and skill acquisition. In this process, human tutors are not required to participate. The student model is the core of the intelligent teaching system. Using the Bayesian network with strong self-learning ability to construct the intelligent teaching system student model can significantly improve the intelligence level of the intelligent teaching system. Firstly, we discussed the basic concepts of the student model of the intelligent teaching system. Then, from the perspective of students' ability teaching, combined with the students' learning status and characteristics, the factors influencing the students' learning process are analyzed. Finally, an intelligent teaching system student model was built based on Bayesian network. This model can objectively evaluate students' cognitive ability and can infer students' next action. In addition, the model is also applicable to the online test system, and the experimental results obtained demonstrate the effectiveness of the modified model.",,,,,,,,,17,0,0,0,0,0,17,,,1617-4909,1617-4917,,,,,,,"Inner Mongolia Univ Nationalities, Coll Mech Engn, Tongliao 028000, Peoples R China",,,,2019-10-17,WOS:000488944900001,
J,"Kabassi, K; Virvou, M",,,,"Tsihrintzis, George/AAR-1626-2021; VIRVOU, Maria/AAR-1415-2021","Kabassi, Katerina/0000-0003-4328-0084",,,Using Web services for personalised Web-based learning,,,,,,,,EDUCATIONAL TECHNOLOGY & SOCIETY,,,,6,3,,,61,71,,,,,,,,,,,Article; Proceedings Paper,JUL 2003,2003,"This paper describes a multi- agent, personalised learning system operating over the Web. The system is called Web F- SMILE and is meant to help novice users learn how to manipulate the file store of their personal computer. In order to provide adaptive help and tutoring, Web F- SMILE has assigned an agent to constantly observe the user and collect information about him/ her. This information is maintained centrally on a Learner Modelling Server. In this way, each learner model is available to any client application that requests it. The agents of the client applications interact with the Learner Modelling Server through Web Services. The main characteristic of Web Services is that they interact with the applications that invoke them, using web standards. Basing learner modelling on web standards has the advantage of enabling the dynamic integration of applications distributed over the Internet, independently of their underlying platforms.",,,,,2nd International Workshop on Developing Creativity and Broad Mental Outlook in the Computer Age2nd International Workshop on Developing Creativity and Broad Mental Outlook in the Computer Age,"JUL 22-27, 2002JUL 22-27, 2002",,"Univ Wales, Aberystwyth, WALESUniv Wales, Aberystwyth, WALES",10,0,1,0,0,0,11,,,1176-3647,1436-4522,,,,,,,"Univ Piraeus, Dept Informat, Piraeus 18534, Greece",,,,2003-07-01,WOS:000189151800008,
J,"Ezaldeen, Hadi; Bisoy, Sukant Kishoro; Misra, Rachita; Alatrash, Rawaa",,,,,"SONI, PRATEEK/0000-0002-7526-4559",,,Semantics-Aware Context-Based Learner Modelling Using Normalized PSO for Personalized E-learning,,,,,,,,JOURNAL OF WEB ENGINEERING,,,,21,4,,,1187,1223,,,,10.13052/jwe1540-9589.2148,,,,,,,Article,2022,2022,"E-learning proves its importance in the diverse educational levels over traditional education. An adaptive e-learning system needs to deduce the learner model for adding personalization to instructional websites. The learner model is the perception repository about the e-content user, which can be inferred implicitly by employing meaningful semantic analysis of the text. In this research, a novel methodology is proposed to conceptually deduce the semantic learner model for personalized e-learning recommendations. Firstly, Conceptual Learner Model (CLM) is developed based on the learner's behavior and context-based text semantic representation by exploiting concepts from the ConceptNet knowledge base, with a significant association of patterns and rules. Then, Expanded Contextual Learner Model (ECLM) is developed by exploring the latent semantics in graphs to add concepts with the common-sense meanings that exceeded the named entities. The learner's knowledge graph is defined based on contextually associated concepts. Semantic relations in ConceptNet are exploited to extend learner models. The Normalized Particle Swarm Optimization (NPSO) algorithm is used to learn the importance of the relation types between the concepts. Thus, CLM and ECLM each are represented as a vector of weighted concepts in which updating is obtained automatically. The proposed recommendation system incorporates dynamic learner models to predict an appropriate e-content with the highest ranking, matching the true needs of a particular learner. Our simulation results show that the performance of ECLM is better Mean Reciprocal Rank (MRR) value 0.780 than other existing methods.",,,,,,,,,2,0,0,0,0,0,2,,,1540-9589,1544-5976,,,,,,,"CV Raman Global Univ, Dept Comp Sci & Engn, Bhubaneswar 752054, Odisha, India",CV Raman Global Univ,,,2022-04-29,WOS:000783753900009,
J,"Grigoriadou, M; Tsaganou, G; Cavoura, T",,,,,,,,Historical text comprehension reflective tutorial dialogue system,,,,,,,,EDUCATIONAL TECHNOLOGY & SOCIETY,,,,8,4,,,31,41,,,,,,,,,,,Article; Proceedings Paper,2005,2005,"The Reflective Tutorial Dialogue System (ReTuDiS) is a system for learner modelling historical text comprehension through reflective dialogue. The system infers learners' cognitive profiles and constructs their learner models. Based on the learner model the system plans the appropriate --personalized for learners-- reflective tutorial dialogue in order to promote their reflection, a fact which leads them towards scientific thought. The system consists of two parts: (1) the Diagnosis part and (2) the Reflective Tutorial Dialogue part. In this paper we present the dialogue strategies, tactics and plans which are used by the dialogue part for the generation of the appropriate for learners' reflective learning dialogues according to their learner models. Moreover, in this paper we present the experts' comments concerning the tutorial dialogue during an experiment.",,,,,4th IEEE International Conference on Advanced Learning Technologies4th IEEE International Conference on Advanced Learning Technologies,"AUG 30-SEP 01, 2004AUG 30-SEP 01, 2004",IEEE TCLT; IEEE Comp Soc; Univ JoensuuIEEE TCLT; IEEE Comp Soc; Univ Joensuu,"Joensuu, FINLANDJoensuu, FINLAND",6,0,0,0,0,0,6,,,1436-4522,,,,,,,,"Univ Athens, Dept Informat & Telecommun, GR-15784 Athens, GreeceUniv Thessaloniki, Dept Educ, GR-38221 Volos, Greece",,,,2005-01-01,WOS:000233138300005,
J,"Chrysafiadi, Konstantina; Virvou, Maria",,,,"Chrysafiadi, Konstantina/AAR-2315-2021; VIRVOU, Maria/AAR-1415-2021; Tsihrintzis, George/AAR-1626-2021",,,,PeRSIVA: An empirical evaluation method of a student model of an intelligent e-learning environment for computer programming,,,,,,,,COMPUTERS & EDUCATION,,,,68,,,,322,333,,,,10.1016/j.compedu.2013.05.020,,,,,,,Article,OCT 2013,2013,"In this paper an evaluation method for assessing the effectiveness, accuracy and validity of a student model was presented. Our method is called PeRSIVA and is a combination of the well-known evaluation method of Kirkpatrick and the layered evaluation framework. These well-known and commonly used evaluation techniques have been selected in order to design an accurate and correct evaluation methodology, since there are no clear guidelines in the literature for the evaluation of the student model of an adaptive tutoring system. Furthermore, PeRSIVA method was used to evaluate the hybrid student model, which combines an overlay model with stereotypes and fuzzy logic techniques, of an e-learning system. Particularly, PeRSIVA assesses the results of student modeling in students' satisfaction, performance, progress, behavior and state, as well as the validity of the conclusions drawn by the student model and the validity of the adaptation decision making. The e-learning system was used by the students of a postgraduate program in the field of informatics in the University of Piraeus and the evaluation results demonstrated learning improvements in students and adaptation success to students' needs. (C) 2013 Elsevier Ltd. All rights reserved.",,,,,,,,,28,0,0,0,0,0,28,,,0360-1315,1873-782X,,,,,,,"Univ Piraeus, Dept Informat, GR-18534 Piraeus, Greece",,,,2013-11-01,WOS:000324080800031,
J,"Huang, Mu-Jung; Chiang, Heien-Kun; Wu, Pei-Fen; Hsieh, Yu-Jung",,,,,,,,A multi-strategy machine learning student modeling for intelligent tutoring systems Based on blackboard approach,,,,,,,,LIBRARY HI TECH,,,,31,2,,,274,293,,,,10.1108/07378831311329059,,,,,,,Article,2013,2013,"Purpose - This study aims to propose a blackboard approach using multistrategy machine learning student modeling techniques to learn the properties of students' inconsistent behaviors during their learning process.Design/methodology/approach - These multistrategy machine learning student modeling techniques include inductive reasoning (similarity-based learning), deductive reasoning (explanation-based learning), and analogical reasoning (case-based reasoning).Findings - According to the properties of students' inconsistent behaviors, the ITS (intelligent tutoring system) may then adopt appropriate methods, such as intensifying teaching and practicing, to prevent their inconsistent behaviors from reoccurring.Originality/value - This research sets the learning object on a single student. After the inferences are accumulated from a group of students, what kinds of students tend to have inconsistent behaviors or under what conditions the behaviors happened for most students can be learned.",,,,,,,,,6,1,0,0,0,0,6,,,0737-8831,,,,,,,,"Natl Changhua Univ Educ, Dept Informat Management, Changhua, Taiwan",,,,2013-09-04,WOS:000322803100006,
J,"Karahoca, Adem; Yengin, Ilker; Karahoca, Dilek",,,,"Karahoca, Adem/ABI-8273-2020","Karahoca, Adem/0000-0003-4654-6351",,,COGNITIVE DIALOG GAMES AS COGNITIVE ASSISTANTS: TRACKING AND ADAPTING KNOWLEDGE AND INTERACTIONS IN STUDENT'S DIALOGS,,,,,,,,INTERNATIONAL JOURNAL OF COGNITIVE RESEARCH IN SCIENCE ENGINEERING AND EDUCATION-IJCRSEE,,,,6,1,,,45,52,,,,10.5937/ijcrsee1801045K,,,,,,,Article,APR 2018,2018,"This study introduces a system design in a form of cognitive dialog game (DiaCog) to support pedagogical factors and student learning model ideas. The purpose of the study is to describe how such a design achieves tracking and adapting students' knowledge and mastery learning levels as a cognitive assistant. Also, this study shows alternative ways for supporting intelligent personal learning, tutoring systems, and MOOCS. This paper explains method called DiaCog that uses structure for students' thinking in an online dialog by tracking student's level of learning/knowledge status. The methodology of computing is the semantic that match between students' interactions in a dialog. By this way it informs DiaCog's learner model to inform the pedagogical model. Semantic fingerprint matching method of DiaCog allows making comparisons with expert knowledge to detect students' mastery levels in learning. The paper concludes with the DiaCog tool and methodologies that used for intelligent cognitive assistant design to implement pedagogical and learner model to track and adapt students' learning. Finally, this paper discusses future improvements and planned experimental set up to advance the techniques introduced in DiaCog design. (C) 2018 IJCRSEE. All rights reserved.",,,,,,,,,3,0,0,0,0,0,3,,,2334-847X,2334-8496,,,,,,,"Bahcesehir Univ, Engn Fac, Istanbul, TurkeyASTAR, Inst High Performance Comp, Riviera, TurkeyBahceschir Univ, Hlth Sci Fac, Istanbul, Turkey",ASTARBahceschir Univ,,,2018-04-01,WOS:000736647400006,
S,"Bull, S; McKay, M",,,,"Bull, Susan/G-4362-2016","Bull, Susan/0000-0003-1515-6641; Bull, Susan/0000-0002-1779-528X","Lester, JC; Vicari, RM; Paraguacu, F",,An open learner model for children and teachers: Inspecting knowledge level of individuals and peers,,,,,,,,"INTELLIGENT TUTORING SYSTEMS, PROCEEDINGS",,Lecture Notes in Computer Science,,3220,,,,646,655,,,,,,,,,,,Article; Proceedings Paper,2004,2004,"This paper considers research on open learner models, which are usually aimed at adult learners, and describes how this has been applied to an intelligent tutoring system for 8-9 year-old children and their teachers. We introduce Subtraction Master, a learning environment with an open learner model for two and three digit subtraction, with and without adjustment (borrowing). It was found that some children were quite interested in their learner model and in a comparison of their own progress to that of their peers, whereas others did not demonstrate such interest. The level of interest and engagement with the learner model did not clearly relate to ability.",,,,,7th International Conference on Intelligent Tutoring Systems7th International Conference on Intelligent Tutoring Systems,"AUG 30-SEP 03, 2004AUG 30-SEP 03, 2004",CNPq; CAPES; FAPEAL; FINEP; FAL; PETROBRAS; AAAI; AI Educ SocCNPq; CAPES; FAPEAL; FINEP; FAL; PETROBRAS; AAAI; AI Educ Soc,"Maceio, BRAZILMaceio, BRAZIL",27,0,0,0,0,0,27,,,0302-9743,1611-3349,3-540-22948-5,,,,,,"Univ Birmingham, Birmingham B15 2TT, W Midlands, England",,,,2004-01-01,WOS:000223806300061,
J,"Gaudioso, Elena; Montero, Miguel; Talavera, Luis; Hernandez-Del-Olmo, Felix",,,,"del Olmo, Félix Hernández/H-3691-2011; Talavera, Luis/B-2830-2012; Gaudioso, Elena/K-2567-2017","del Olmo, Félix Hernández/0000-0002-0567-9572; Gaudioso, Elena/0000-0003-2258-6623; Talavera, Luis/0000-0002-7136-3349",,,Supporting teachers in collaborative student modeling: A framework and an implementation,,,,,,,,EXPERT SYSTEMS WITH APPLICATIONS,,,,36,2,,,2260,2265,,,,10.1016/j.eswa.2007.12.035,,,,,,,Article,MAR 2009,2009,"Collaborative student modeling in adaptive learning environments allows the learners to inspect and modify their own student models. It is often considered as a collaboration between students and the system to promote learners' reflection and to collaboratively assess the course. When adaptive learning environments are used in the classroom, teachers act as a guide through the learning process. Thus, they need to monitor students' interactions in order to understand and evaluate their activities. Although, the knowledge gained through this monitorization call be extremely useful to student modeling, collaboration between teachers and the system to achieve this goal has not been considered in the literature. In this paper we present a framework to support teachers in this task. In order to prove the usefulness of this framework we have implemented and evaluated it in ail adaptive web-based educational system called PDinamet. (C) 2007 Elsevier Ltd. All rights reserved.",,,,,,,,,27,1,0,0,0,0,28,,,0957-4174,1873-6793,,,,,,,"Univ Nacl Educ Distancia, Dept Artificial Intelligence, E-28040 Madrid, SpainICT Consultant Teacher Resource Ctr, Albacete 02002, SpainUniv Politecn Cataluna, Dept Llenguatges & Sistemes Informat, ES-08034 Barcelona, Spain",ICT Consultant Teacher Resource Ctr,,,2009-03-01,WOS:000262178000126,
J,"Chrysafiadi, Konstantina; Virvou, Maria",,,,"Tsihrintzis, George/AAR-1626-2021; VIRVOU, Maria/AAR-1415-2021; Chrysafiadi, Konstantina/AAR-2315-2021",,,,Evaluating the integration of fuzzy logic into the student model of a web-based learning environment,,,,,,,,EXPERT SYSTEMS WITH APPLICATIONS,,,,39,18,,,13127,13134,,,,10.1016/j.eswa.2012.05.089,,,,,,,Article,DEC 15 2012,2012,"In this paper, we evaluate the effectiveness and accuracy of the student model of a web-based educational environment for teaching computer programming. Our student model represents the learner's knowledge through an overlay model and uses a fuzzy logic technique in order to define and update the student's knowledge level of each domain concept, each time that s/he interacts with the e-learning system. Evaluation of the student model of an Intelligent Tutoring System (ITS) is an aspect for which there are not clear guidelines to be provided by literature. Therefore, we choose to use two well-known evaluation methods for the evaluation of our fuzzy student model, in order to design an accurate and correct evaluation methodology. These evaluation models are: the Kirkpatrick's model and the layered evaluation method. Our system was used by the students of a postgraduate program in the field of Informatics in the University of Piraeus, in order to learn how to program in the programming language C. The results of the evaluation were very encouraging. (C) 2012 Elsevier Ltd. All rights reserved.",,,,,,,,,28,1,0,0,1,0,29,,,0957-4174,1873-6793,,,,,,,"Univ Piraeus, Dept Informat, GR-18534 Piraeus, Greece",,,,2012-10-31,WOS:000308684400006,
S,"Beck, JE; Sison, J",,,,,,"Lester, JC; Vicari, RM; Paraguacu, F",,Using knowledge tracing to measure student reading proficiencies,,,,,,,,"INTELLIGENT TUTORING SYSTEMS, PROCEEDINGS",,Lecture Notes in Computer Science,,3220,,,,624,634,,,,,,,,,,,Article; Proceedings Paper,2004,2004,"Constructing a student model for language tutors is a challenging task. This paper describes using knowledge tracing to construct a student model of reading proficiency and validates the model. We use speech recognition to assess a student's reading proficiency at a subword level, even though the speech recognizer output is at the level of words. Specifically, we estimate the student's knowledge of 80 letter to sound mappings, such as ch making the sound /K/ in chemistry. At a coarse level, the student model did a better job at estimating reading proficiency for 47.2% of the students than did a standardized test designed for the task. Our model's estimate of the student's knowledge on individual letter to sound mappings is a significant predictor of whether he will ask for help on a particular word. Thus, our student model is able to describe student performance both at a coarse- and at a fine-grain size.",,,,,7th International Conference on Intelligent Tutoring Systems7th International Conference on Intelligent Tutoring Systems,"AUG 30-SEP 03, 2004AUG 30-SEP 03, 2004",CNPq; CAPES; FAPEAL; FINEP; FAL; PETROBRAS; AAAI; AI Educ SocCNPq; CAPES; FAPEAL; FINEP; FAL; PETROBRAS; AAAI; AI Educ Soc,"Maceio, BRAZILMaceio, BRAZIL",2,0,0,0,0,0,2,,,0302-9743,1611-3349,3-540-22948-5,,,,,,"Carnegie Mellon Univ, Sch Comp Sci, Ctr Automated Learning & Discovery, Pittsburgh, PA 15213 USACarnegie Mellon Univ, Sch Comp Sci, Language Technol Inst, Pittsburgh, PA 15213 USA",,,,2004-01-01,WOS:000223806300059,
S,"Oubahssi, Lahcen; Grandbastien, Monique",,,,,"Oubahssi, Lahcen/0000-0002-2933-8780","Ikeda, M; Ashley, KD; Chan, TW",,From learner information packages to student models: Which continuum?,,,,,,,,"INTELLIGENT TUTORING SYSTEMS, PROCEEDINGS",,LECTURE NOTES IN COMPUTER SCIENCE,,4053,,,,288,297,,,,,,,,,,,Article; Proceedings Paper,2006,2006,"User adaptation has been a major issue of ITS research since the beginning. At first knowledge about individual learners was used to produce adaptive educational hypermedia. Then, the deployment of web based learning management systems put the need to exchange learner data between systems in the forefront. Nowadays, specifications for describing learner information in a standardized way are being developed. So far most existing systems have processed learner data. Yet the processed data are neither the same nor are they used for the same purposes, even if they are data about the learners. We argue that it is time to bridge the gap between the many sets of data about a learner processed within different learning environments. We propose a set of categories for describing learner information that goes beyond IMS LIP and could bring a link with ITS learner models.",,,,,8th International Conference on Intelligent Tutoring Systems8th International Conference on Intelligent Tutoring Systems,"JUN 26-30, 2006JUN 26-30, 2006",Natl Sci Council; Minist Educ; Taipei City Govt; Natl Sci & Technol Program e-Learning; Taiwanese Assoc Artificial IntelligenceNatl Sci Council; Minist Educ; Taipei City Govt; Natl Sci & Technol Program e-Learning; Taiwanese Assoc Artificial Intelligence,"Jhongli, TAIWANJhongli, TAIWAN",6,0,0,0,0,0,6,,,0302-9743,,3-540-35159-0,,,,,,"Univ Paris 05, Lab CRIP5 AIDA, F-75270 Paris 6, FranceUniv Nancy 1, Lab LORIA AIDA, F-54506 Vandoeuvre Les Nancy, France",,,,2006-01-01,WOS:000239477100029,
J,"Kaser, Tanja; Klingler, Severin; Schwing, Alexander G.; Gross, Markus",,,,,,,,Dynamic Bayesian Networks for Student Modeling,,,,,,,,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,,,,10,4,,,450,462,,,,10.1109/TLT.2017.2689017,,,,,,,Article,OCT-DEC 2017,2017,"Intelligent tutoring systems adapt the curriculum to the needs of the individual student. Therefore, an accurate representation and prediction of student knowledge is essential. Bayesian Knowledge Tracing (BKT) is a popular approach for student modeling. The structure of BKT models, however, makes it impossible to represent the hierarchy and relationships between the different skills of a learning domain. Dynamic Bayesian networks (DBN) on the other hand are able to represent multiple skills jointly within one model. In this work, we suggest the use of DBNs for student modeling. We introduce a constrained optimization algorithm for parameter learning of such models. We extensively evaluate and interpret the prediction accuracy of our approach on five large-scale data sets of different learning domains such as mathematics, spelling learning, and physics. We furthermore provide comparisons to previous student modeling approaches and analyze the influence of the different student modeling techniques on instructional policies. We demonstrate that our approach outperforms previous techniques in prediction accuracy on unseen data across all learning domains and yields meaningful instructional policies.",,,,,,,,,46,7,0,0,0,0,53,,,1939-1382,,,,,,,,"Stanford Univ, Grad Sch Educ, Stanford, CA 94305 USASwiss Fed Inst Technol, Dept Comp Sci, CH-8006 Zurich, SwitzerlandUniv Illinois, Dept Elect & Comp Engn, Urbana, IL 61820 USA",,,,2018-01-01,WOS:000418421400005,
